InvoiceNo,CustomerID,ProductID,Category,Country,InvoiceDate,Quantity,UnitPrice,DiscountPercent,LineTotal,PaymentMethod,CustomerAge,MembershipLevel
INV10044,1699,368,Electronics,Spain,2024-06-02,8,90.96,15,618.53,PayPal,65,Standard
INV10045,1975,321,Home,UK,2024-02-15,3,56.53,10,152.63,Bank Transfer,29,Standard
INV10046,1782,318,Books,UK,2024-04-27,2,32.95,0,65.9,Card,35,Standard
INV10047,1189,389,Home,Spain,2024-10-31,3,34.47,15,87.9,Cash,52,Gold
INV10048,1957,313,Sports,France,2024-08-02,4,46.51,10,167.44,Bank Transfer,32,Standard
INV10049,1686,209,Electronics,France,2024-02-23,4,33.16,10,119.38,Card,67,Standard
INV10050,1957,348,Sports,UK,2024-07-26,0,9.52,10,0.0,Bank Transfer,61,Standard
INV10051,1562,363,Home,France,2024-04-15,1,41.27,0,41.27,Card,47,Gold
INV10052,1875,339,Fashion,France,2024-11-15,8,66.65,15,453.22,Cash,62,Platinum
INV10053,1566,290,Fashion,UK,2024-06-17,4,42.67,0,170.68,Card,50,Gold
INV10054,1243,201,Fashion,France,2024-11-03,7,48.79,20,273.22,Card,53,Gold
INV10055,1831,317,Sports,France,2024-01-04,-2,14.43,20,-23.09,Card,57,Gold
INV10056,1504,212,Sports,UK,2024-03-11,-2,62.76,5,-119.24,Bank Transfer,68,Platinum
INV10057,1130,380,Books,Spain,2024-10-18,-1,87.45,10,-78.7,Card,47,Standard
INV10058,1484,359,Home,Spain,2024-11-29,-1,53.94,10,-48.55,Card,43,Standard
INV10059,1818,294,Books,Spain,2024-12-20,6,40.84,15,208.28,Card,38,Platinum
INV10060,1646,343,Books,UK,2024-02-08,8,44.41,15,301.99,Bank Transfer,54,Platinum
INV10061,1020,231,Sports,France,2024-06-06,7,48.05,0,336.35,Cash,60,Silver
INV10062,1840,231,Sports,France,2024-10-18,3,48.73,15,124.26,Cash,48,Standard
INV10063,1166,323,Electronics,Germany,2024-12-11,-1,32.08,20,-25.66,Cash,34,Gold
INV10064,1273,210,Home,UK,2024-04-04,4,33.92,15,115.33,Card,34,Gold
INV10065,1387,209,Electronics,France,2024-08-16,2,3.03,5,5.76,Bank Transfer,51,Standard
INV10066,1600,214,Electronics,France,2024-11-27,9,95.15,10,770.72,Cash,41,Platinum
INV10067,1315,216,Books,Germany,2024-09-14,4,24.22,10,87.19,Cash,50,Silver
INV10068,1013,367,Fashion,Germany,2024-05-14,1,4.36,15,3.71,Cash,21,Gold
INV10069,1241,345,Fashion,UK,2024-12-29,8,47.01,20,300.86,PayPal,26,Silver
INV10070,1776,382,Sports,Germany,2024-07-28,8,21.3,10,153.36,Bank Transfer,19,Gold
INV10071,1345,352,Fashion,Spain,2024-05-13,1,36.6,20,29.28,PayPal,52,Gold
INV10072,1564,258,Books,Germany,2024-09-07,7,78.87,0,552.09,Card,55,Standard
INV10073,1897,277,Home,Germany,2024-09-21,4,61.3,15,208.42,Cash,62,Gold
INV10074,1339,323,Books,France,2024-02-22,7,20.11,20,112.62,Card,32,Silver
INV10075,1091,313,Books,Germany,2024-12-04,8,24.22,5,184.07,Bank Transfer,60,Silver
INV10076,1366,221,Sports,Germany,2024-10-20,7,21.82,10,137.47,Card,59,Standard
INV10077,1955,357,Sports,Germany,2024-06-27,0,88.59,5,0.0,Card,20,Gold
INV10078,1454,371,Home,Spain,2024-01-09,2,4.53,20,7.25,Cash,48,Silver
INV10079,1427,231,Electronics,Germany,2024-01-15,9,27.29,20,196.49,Bank Transfer,69,Platinum
INV10080,1508,378,Electronics,UK,2024-01-01,4,6.32,0,25.28,Card,58,Standard
INV10081,1775,373,Electronics,France,2024-01-12,7,94.71,0,662.97,PayPal,59,Platinum
INV10082,1942,312,Electronics,Spain,2024-10-05,6,14.44,5,82.31,Cash,40,Silver
INV10083,1034,319,Home,UK,2024-01-18,8,69.69,20,446.02,PayPal,29,Platinum
INV10084,1205,348,Home,Spain,2024-11-14,8,56.36,5,428.34,Cash,25,Standard
INV10085,1080,321,Electronics,Spain,2024-08-07,6,7.43,10,40.12,Card,38,Platinum
INV10086,1931,231,Fashion,Spain,2024-11-18,-2,4.18,0,-8.36,Cash,38,Silver
INV10087,1561,318,Books,UK,2024-01-25,7,60.74,20,340.14,Card,49,Platinum
INV10088,1871,238,Fashion,France,2024-10-27,1,19.55,5,18.57,PayPal,34,Platinum
INV10089,1387,211,Books,France,2024-04-20,-1,34.53,15,-29.35,Card,54,Platinum
INV10090,1001,374,Home,Germany,2024-11-04,6,65.45,10,353.43,Cash,41,Gold
INV10091,1389,217,Sports,Spain,2024-08-20,7,87.68,20,491.01,Cash,25,Silver
INV10092,1565,348,Fashion,Spain,2024-08-07,-2,42.15,10,-75.87,Cash,35,Platinum
INV10093,1105,340,Home,Spain,2024-06-28,9,73.69,0,663.21,PayPal,28,Silver
INV10094,1771,348,Fashion,Germany,2024-06-16,-2,95.81,10,-172.46,Bank Transfer,27,Platinum
INV10095,1821,325,Sports,Spain,2024-06-21,3,41.47,15,105.75,PayPal,43,Standard
INV10096,1476,335,Fashion,Spain,2024-03-25,5,17.56,20,70.24,Card,64,Standard
INV10097,1702,245,Home,Germany,2024-12-17,6,42.09,10,227.29,Card,23,Standard
INV10098,1401,303,Books,UK,2024-04-12,8,36.29,0,290.32,PayPal,68,Platinum
INV10099,1729,334,Fashion,Spain,2024-10-29,4,32.87,15,111.76,PayPal,34,Silver
INV10100,1555,350,Sports,Germany,2024-05-13,5,26.94,5,127.96,Card,40,Standard
INV10101,1161,285,Electronics,Germany,2024-01-21,8,70.11,20,448.7,Card,59,Gold
INV10102,1201,349,Books,UK,2024-12-08,7,52.29,20,292.82,Card,54,Standard
INV10103,1957,288,Sports,UK,2024-01-28,1,27.61,20,22.09,Bank Transfer,45,Standard
INV10104,1995,221,Fashion,UK,2024-05-13,6,19.91,5,113.49,Bank Transfer,33,Gold
INV10105,1269,291,Home,France,2024-11-17,8,29.99,20,191.94,PayPal,29,Standard
INV10106,1862,228,Home,UK,2024-05-31,5,14.6,20,58.4,PayPal,38,Platinum
INV10107,1815,212,Sports,UK,2024-12-09,0,63.32,0,0.0,Bank Transfer,41,Platinum
INV10108,1270,201,Electronics,UK,2024-05-05,0,89.86,15,0.0,Cash,45,Standard
INV10109,1455,228,Books,Germany,2024-07-29,8,59.63,5,453.19,Bank Transfer,54,Silver
INV10110,1461,379,Electronics,UK,2024-02-11,6,75.49,10,407.65,PayPal,38,Silver
INV10111,1726,226,Fashion,France,2024-12-10,0,18.13,15,0.0,Bank Transfer,50,Standard
INV10112,1251,249,Home,Germany,2024-10-13,3,59.79,0,179.37,Cash,19,Gold
INV10113,1701,294,Sports,France,2024-03-28,7,77.72,0,544.04,PayPal,54,Platinum
INV10114,1295,350,Electronics,UK,2024-05-16,1,37.32,15,31.72,Card,36,Platinum
INV10115,1724,287,Electronics,Spain,2024-03-09,7,93.41,10,588.48,PayPal,45,Platinum
INV10116,1719,243,Fashion,UK,2024-01-13,4,66.93,5,254.33,Bank Transfer,32,Standard
INV10117,1748,221,Books,Germany,2024-04-14,1,99.7,5,94.72,Bank Transfer,18,Platinum
INV10118,1337,370,Books,Germany,2024-04-08,5,64.57,0,322.85,Cash,60,Standard
INV10119,1878,364,Sports,Spain,2024-05-20,2,15.54,20,24.86,Bank Transfer,45,Standard
INV10120,1052,388,Electronics,Spain,2024-07-17,9,36.94,15,282.59,Cash,67,Silver
INV10121,1791,296,Books,Germany,2024-06-05,-1,68.69,15,-58.39,PayPal,52,Gold
INV10122,1921,383,Fashion,Spain,2024-08-23,7,78.63,0,550.41,Bank Transfer,49,Gold
INV10123,1216,202,Electronics,UK,2024-05-01,4,14.81,5,56.28,PayPal,45,Gold
INV10124,1763,390,Fashion,Germany,2024-03-22,4,63.94,10,230.18,Card,26,Platinum
INV10125,1187,317,Home,France,2024-11-10,8,65.23,20,417.47,Card,41,Silver
INV10126,1379,218,Sports,Germany,2024-08-04,9,28.38,0,255.42,Cash,21,Silver
INV10127,1492,222,Home,France,2024-04-09,9,89.91,0,809.19,Bank Transfer,62,Standard
INV10128,1040,356,Electronics,Spain,2024-04-20,4,4.51,0,18.04,PayPal,58,Silver
INV10129,1156,229,Sports,Spain,2024-03-23,3,12.68,5,36.14,PayPal,20,Standard
INV10130,1014,238,Books,Germany,2024-06-03,7,55.5,20,310.8,Bank Transfer,65,Silver
INV10131,1812,307,Fashion,Germany,2024-05-13,7,76.94,0,538.58,PayPal,39,Standard
INV10132,1064,310,Fashion,Germany,2024-04-24,6,7.27,10,39.26,Bank Transfer,57,Platinum
INV10133,1856,224,Books,France,2024-03-30,-1,8.24,10,-7.42,Bank Transfer,56,Silver
INV10134,1838,327,Home,Spain,2024-04-21,2,68.9,10,124.02,Card,66,Gold
INV10135,1520,310,Books,UK,2024-06-05,3,86.13,0,258.39,Bank Transfer,42,Standard
INV10136,1343,335,Home,Germany,2024-09-02,5,68.42,15,290.79,PayPal,65,Silver
INV10137,1128,305,Home,Spain,2024-08-17,5,86.25,0,431.25,Bank Transfer,39,Silver
INV10138,1647,385,Home,Germany,2024-10-24,4,39.57,0,158.28,Card,67,Standard
INV10139,1471,343,Books,UK,2024-07-05,2,64.33,15,109.36,Card,65,Silver
INV10140,1062,271,Home,Spain,2024-06-23,-2,47.17,20,-75.47,Cash,64,Gold
INV10141,1138,328,Books,Germany,2024-04-04,0,84.21,20,0.0,PayPal,51,Standard
INV10142,1498,307,Fashion,France,2024-07-24,-2,31.82,15,-54.09,Bank Transfer,37,Standard
INV10143,1592,204,Fashion,Spain,2024-09-03,-1,6.63,10,-5.97,PayPal,53,Standard
INV10144,1391,202,Electronics,France,2024-12-17,5,70.13,20,280.52,PayPal,54,Standard
INV10145,1674,392,Fashion,France,2024-03-19,1,55.34,0,55.34,Bank Transfer,56,Standard
INV10146,1418,331,Fashion,France,2024-07-10,9,53.7,20,386.64,Card,44,Gold
INV10147,1288,303,Fashion,UK,2024-12-22,6,15.56,10,84.02,PayPal,64,Standard
INV10148,1378,263,Sports,UK,2024-09-01,6,60.35,20,289.68,Cash,66,Gold
INV10149,1772,305,Fashion,Spain,2024-04-22,3,21.18,5,60.36,PayPal,49,Gold
INV10150,1489,297,Fashion,Spain,2024-03-25,8,46.89,5,356.36,Card,59,Gold
INV10151,1230,209,Electronics,UK,2024-03-09,4,33.44,0,133.76,Cash,69,Standard
INV10152,1040,348,Electronics,UK,2024-07-19,1,2.16,10,1.94,Cash,46,Gold
INV10153,1027,327,Electronics,Germany,2024-04-09,2,86.48,5,164.31,Cash,58,Standard
INV10154,1134,245,Books,France,2024-09-07,3,84.7,5,241.4,Cash,65,Gold
INV10155,1200,354,Electronics,UK,2024-08-03,-2,72.95,0,-145.9,Bank Transfer,49,Standard
INV10156,1839,265,Home,Germany,2024-02-28,1,52.21,5,49.6,Bank Transfer,41,Silver
INV10157,1779,368,Sports,Spain,2024-03-10,-2,72.43,0,-144.86,Bank Transfer,20,Silver
INV10158,1929,311,Electronics,UK,2024-01-18,-1,7.28,5,-6.92,Cash,44,Gold
INV10159,1032,212,Home,Germany,2024-07-07,3,35.44,20,85.06,Card,26,Platinum
INV10160,1047,336,Home,France,2024-09-06,7,87.99,5,585.13,PayPal,57,Platinum
INV10161,1502,363,Fashion,France,2024-09-19,-1,47.15,10,-42.44,Cash,40,Silver
INV10162,1406,285,Electronics,Spain,2024-10-31,5,29.39,5,139.6,Card,24,Gold
INV10163,1573,289,Books,France,2024-11-29,1,86.57,20,69.26,PayPal,34,Gold
INV10164,1727,257,Fashion,Germany,2024-07-02,6,2.68,15,13.67,Cash,54,Gold
INV10165,1804,253,Home,France,2024-11-23,0,3.79,15,0.0,PayPal,24,Platinum
INV10166,1098,211,Home,France,2024-11-14,-2,95.24,0,-190.48,Bank Transfer,47,Silver
INV10167,1683,213,Books,France,2024-07-30,6,30.55,10,164.97,Bank Transfer,30,Gold
INV10168,1871,320,Electronics,Germany,2024-06-06,0,34.36,5,0.0,Bank Transfer,35,Silver
INV10169,1725,361,Electronics,Germany,2024-04-19,-1,31.17,0,-31.17,Card,48,Silver
INV10170,1986,380,Electronics,Spain,2024-10-17,5,14.0,10,63.0,Bank Transfer,39,Standard
INV10171,1546,320,Books,UK,2024-07-16,-1,20.63,15,-17.54,Card,31,Platinum
INV10172,1960,219,Home,UK,2024-01-16,2,18.84,0,37.68,Bank Transfer,35,Silver
INV10173,1738,274,Sports,UK,2024-04-09,9,45.13,5,385.86,Bank Transfer,52,Standard
INV10174,1612,343,Electronics,Germany,2024-01-23,7,51.24,0,358.68,Bank Transfer,34,Platinum
INV10175,1942,269,Fashion,France,2024-07-24,4,21.52,15,73.17,Card,36,Gold
INV10176,1461,255,Fashion,France,2024-05-04,4,60.04,5,228.15,PayPal,48,Gold
INV10177,1642,300,Sports,UK,2024-08-26,-2,51.33,0,-102.66,Card,56,Standard
INV10178,1768,385,Fashion,France,2024-02-14,2,41.35,10,74.43,Cash,53,Gold
INV10179,1004,331,Books,Germany,2024-11-30,-2,5.9,5,-11.21,Cash,32,Standard
INV10180,1217,310,Sports,UK,2024-02-24,9,97.02,0,873.18,Card,46,Standard
INV10181,1502,324,Fashion,Germany,2024-04-06,8,94.88,20,607.23,Card,57,Gold
INV10182,1766,331,Fashion,Germany,2024-03-19,4,62.78,20,200.9,PayPal,33,Platinum
INV10183,1397,219,Electronics,UK,2024-06-17,0,20.82,5,0.0,Card,50,Standard
INV10184,1870,337,Fashion,Germany,2024-04-14,4,75.08,5,285.3,Bank Transfer,42,Platinum
INV10185,1794,223,Fashion,Germany,2024-03-30,-2,57.06,15,-97.0,PayPal,33,Platinum
INV10186,1392,353,Sports,UK,2024-04-06,-1,69.5,20,-55.6,Card,47,Standard
INV10187,1206,236,Home,Spain,2024-07-22,7,96.84,5,643.99,Card,51,Platinum
INV10188,1014,253,Sports,UK,2024-11-15,5,59.48,10,267.66,Cash,19,Standard
INV10189,1857,302,Sports,France,2024-07-17,8,80.49,5,611.72,PayPal,57,Gold
INV10190,1553,348,Electronics,Germany,2024-03-14,6,69.02,5,393.41,Cash,61,Gold
INV10191,1891,237,Books,France,2024-02-10,6,61.76,10,333.5,Card,60,Gold
INV10192,1460,373,Electronics,Spain,2024-08-16,5,16.42,0,82.1,PayPal,55,Gold
INV10193,1690,203,Sports,France,2024-05-16,6,2.59,0,15.54,Bank Transfer,68,Gold
INV10194,1574,387,Fashion,Spain,2024-04-03,1,92.75,20,74.2,Card,35,Platinum
INV10195,1863,256,Books,France,2024-07-01,5,72.04,20,288.16,Card,22,Platinum
INV10196,1742,372,Fashion,France,2024-07-30,5,9.93,0,49.65,Cash,64,Platinum
INV10197,1240,219,Electronics,France,2024-06-05,2,60.74,0,121.48,Bank Transfer,57,Silver
INV10198,1563,216,Home,Spain,2024-09-21,1,95.3,15,81.0,Card,23,Silver
INV10199,1095,318,Home,France,2024-01-26,8,47.57,20,304.45,Cash,29,Standard
INV10200,1899,270,Electronics,France,2024-06-29,6,69.76,15,355.78,Cash,68,Silver
INV10201,1733,203,Home,UK,2024-03-16,0,36.46,5,0.0,Card,29,Gold
INV10202,1484,213,Home,UK,2024-02-24,-2,32.59,10,-58.66,PayPal,29,Gold
INV10203,1406,202,Sports,UK,2024-04-27,7,37.6,15,223.72,Card,26,Gold
INV10204,1230,279,Books,France,2024-11-13,4,35.24,15,119.82,Bank Transfer,59,Standard
INV10205,1748,385,Fashion,Spain,2024-06-05,-2,7.02,5,-13.34,Card,39,Standard
INV10206,1654,254,Electronics,France,2024-10-25,4,36.98,15,125.73,PayPal,66,Standard
INV10207,1170,331,Fashion,UK,2024-10-27,7,22.0,0,154.0,Cash,67,Standard
INV10208,1540,319,Sports,UK,2024-01-02,1,23.17,15,19.69,Bank Transfer,33,Platinum
INV10209,1035,223,Fashion,Spain,2024-09-25,9,48.56,15,371.48,Bank Transfer,21,Standard
INV10210,1524,361,Fashion,UK,2024-10-30,5,68.71,15,292.02,Bank Transfer,67,Standard
INV10211,1159,357,Electronics,Germany,2024-03-19,1,7.27,5,6.91,Bank Transfer,20,Silver
INV10212,1838,281,Fashion,Spain,2024-10-02,4,39.99,15,135.97,PayPal,33,Platinum
INV10213,1698,346,Fashion,Spain,2024-04-09,8,93.99,15,639.13,PayPal,31,Gold
INV10214,1242,358,Books,Spain,2024-12-21,0,35.48,20,0.0,PayPal,58,Silver
INV10215,1085,387,Home,France,2024-08-09,3,12.6,15,32.13,PayPal,55,Standard
INV10216,1795,259,Sports,Germany,2024-02-22,2,40.58,10,73.04,Cash,21,Gold
INV10217,1577,346,Books,Germany,2024-05-22,8,10.26,10,73.87,Card,19,Gold
INV10218,1681,248,Books,UK,2024-09-27,0,18.22,20,0.0,PayPal,27,Gold
INV10219,1556,262,Fashion,UK,2024-11-23,0,21.26,0,0.0,Card,28,Silver
INV10220,1573,309,Books,Germany,2024-04-28,2,83.98,5,159.56,Bank Transfer,56,Platinum
INV10221,1952,349,Sports,Germany,2024-08-25,4,72.49,15,246.47,Cash,43,Platinum
INV10222,1645,351,Electronics,UK,2024-08-10,-1,7.18,5,-6.82,Cash,54,Gold
INV10223,1795,308,Fashion,UK,2024-12-19,0,49.26,15,0.0,Card,43,Standard
INV10224,1027,275,Sports,France,2024-07-15,7,71.75,0,502.25,Card,21,Platinum
INV10225,1619,229,Fashion,France,2024-09-18,0,92.42,0,0.0,Card,43,Platinum
INV10226,1555,257,Electronics,Germany,2024-05-19,5,34.18,10,153.81,Cash,55,Standard
INV10227,1339,316,Home,Spain,2024-11-04,6,41.97,5,239.23,PayPal,45,Silver
INV10228,1797,358,Sports,UK,2024-12-27,1,21.36,15,18.16,Cash,19,Silver
INV10229,1957,299,Books,France,2024-05-28,9,51.66,5,441.69,PayPal,19,Standard
INV10230,1330,391,Electronics,UK,2024-10-20,9,36.01,15,275.48,Bank Transfer,33,Silver
INV10231,1639,218,Fashion,Germany,2024-05-24,3,86.52,15,220.63,PayPal,40,Gold
INV10232,1505,375,Fashion,Spain,2024-07-18,0,74.59,10,0.0,Card,40,Platinum
INV10233,1347,372,Electronics,France,2024-02-08,2,52.77,20,84.43,PayPal,30,Silver
INV10234,1472,293,Sports,UK,2024-08-31,5,48.59,5,230.8,PayPal,38,Gold
INV10235,1230,382,Fashion,France,2024-06-28,9,25.5,10,206.55,Cash,56,Gold
INV10236,1189,312,Electronics,Germany,2024-10-05,7,8.07,5,53.67,Card,42,Gold
INV10237,1224,382,Electronics,UK,2024-09-14,-1,41.43,20,-33.14,Bank Transfer,54,Gold
INV10238,1384,345,Fashion,Spain,2024-10-17,-1,11.86,20,-9.49,PayPal,66,Gold
INV10239,1376,262,Books,France,2024-06-20,0,58.61,5,0.0,Bank Transfer,30,Standard
INV10240,1282,315,Electronics,Germany,2024-07-12,2,11.75,15,19.97,Card,32,Platinum
INV10241,1957,312,Books,Spain,2024-03-29,7,57.33,0,401.31,PayPal,45,Platinum
INV10242,1632,246,Books,France,2024-10-01,1,85.12,5,80.86,Cash,20,Standard
INV10243,1627,256,Sports,Spain,2024-02-03,7,76.26,0,533.82,Bank Transfer,40,Standard
INV10244,1972,317,Electronics,Spain,2024-01-05,2,13.1,5,24.89,Cash,21,Gold
INV10245,1744,244,Home,UK,2024-09-15,7,55.55,20,311.08,Bank Transfer,64,Silver
INV10246,1258,360,Fashion,Germany,2024-03-16,7,52.5,5,349.12,Card,67,Platinum
INV10247,1358,344,Fashion,UK,2024-09-14,-1,3.57,15,-3.03,PayPal,20,Silver
INV10248,1709,397,Sports,Spain,2024-05-30,2,40.62,5,77.18,Bank Transfer,56,Platinum
INV10249,1455,203,Books,UK,2024-01-05,5,75.13,0,375.65,Cash,25,Gold
INV10250,1410,347,Electronics,UK,2024-06-26,8,90.13,20,576.83,Bank Transfer,60,Silver
INV10251,1648,246,Home,Germany,2024-05-22,7,48.68,15,289.65,Bank Transfer,42,Platinum
INV10252,1317,342,Sports,Germany,2024-04-17,1,76.13,0,76.13,Bank Transfer,58,Platinum
INV10253,1676,397,Books,Spain,2024-08-24,7,94.53,20,529.37,Bank Transfer,69,Gold
INV10254,1224,246,Home,Spain,2024-07-07,-2,98.5,20,-157.6,Bank Transfer,29,Silver
INV10255,1818,277,Fashion,UK,2024-10-26,1,84.18,20,67.34,Bank Transfer,22,Gold
INV10256,1233,323,Sports,UK,2024-01-12,9,39.45,0,355.05,Cash,50,Silver
INV10257,1683,274,Home,UK,2024-08-13,2,91.5,15,155.55,Bank Transfer,63,Silver
INV10258,1663,302,Home,France,2024-11-19,4,94.25,5,358.15,Bank Transfer,42,Platinum
INV10259,1974,336,Books,Spain,2024-11-02,2,34.55,0,69.1,Bank Transfer,42,Standard
INV10260,1826,289,Books,Germany,2024-06-30,7,5.18,20,29.01,PayPal,52,Silver
INV10261,1373,343,Fashion,Spain,2024-10-18,0,21.94,15,0.0,Card,32,Silver
INV10262,1671,268,Sports,UK,2024-01-09,6,41.7,5,237.69,Card,59,Gold
INV10263,1607,260,Electronics,Germany,2024-08-13,2,19.7,10,35.46,Card,43,Silver
INV10264,1471,337,Electronics,Germany,2024-07-25,6,60.12,20,288.58,Cash,27,Silver
INV10265,1232,249,Sports,UK,2024-12-19,9,24.38,15,186.51,Cash,41,Silver
INV10266,1691,202,Electronics,Spain,2024-09-07,7,38.2,5,254.03,Cash,52,Silver
INV10267,1112,306,Fashion,UK,2024-10-20,8,86.83,5,659.91,Bank Transfer,46,Silver
INV10268,1829,312,Home,UK,2024-11-19,4,43.09,0,172.36,Card,55,Standard
INV10269,1496,293,Home,Germany,2024-04-07,4,27.13,0,108.52,Bank Transfer,22,Platinum
INV10270,1441,317,Fashion,Spain,2024-07-03,4,91.17,15,309.98,PayPal,41,Silver
INV10271,1563,397,Sports,Germany,2024-08-01,8,46.78,15,318.1,Card,36,Gold
INV10272,1267,280,Fashion,Germany,2024-05-03,-2,10.16,0,-20.32,PayPal,63,Gold
INV10273,1509,308,Sports,Germany,2024-02-13,-2,12.89,20,-20.62,PayPal,66,Silver
INV10274,1806,250,Sports,Germany,2024-05-30,7,82.99,20,464.74,Bank Transfer,61,Silver
INV10275,1385,346,Electronics,France,2024-02-06,9,32.52,20,234.14,Card,26,Silver
INV10276,1386,369,Sports,Spain,2024-11-03,0,31.88,5,0.0,PayPal,43,Standard
INV10277,1112,234,Sports,UK,2024-03-08,0,48.22,0,0.0,Card,42,Platinum
INV10278,1612,245,Fashion,Spain,2024-02-11,8,94.11,20,602.3,PayPal,52,Gold
INV10279,1624,353,Fashion,France,2024-01-10,6,19.56,20,93.89,PayPal,67,Standard
INV10280,1951,268,Books,Spain,2024-07-11,3,36.48,10,98.5,Bank Transfer,53,Standard
INV10281,1080,292,Books,UK,2024-09-21,9,96.22,20,692.78,Card,31,Silver
INV10282,1698,263,Sports,UK,2024-10-22,-2,77.9,0,-155.8,Bank Transfer,23,Platinum
INV10283,1112,364,Sports,France,2024-06-09,3,46.79,10,126.33,Bank Transfer,49,Silver
INV10284,1001,248,Home,UK,2024-10-18,5,89.54,20,358.16,Bank Transfer,43,Gold
INV10285,1641,348,Electronics,Germany,2024-08-06,7,26.59,0,186.13,Bank Transfer,32,Platinum
INV10286,1219,273,Sports,France,2024-06-30,2,94.65,15,160.9,Bank Transfer,66,Silver
INV10287,1565,391,Fashion,Germany,2024-07-16,6,95.97,20,460.66,PayPal,48,Gold
